Country,Year,Region,Disease_Name,Prevalence_Rate,Incidence_Rate,Mortality_Rate,Recovery_Rate,Healthcare_Access_Index,Hospital_Beds_per_1000,Doctors_per_1000,Vaccination_Coverage,Life_Expectancy,Median_Age,Urban_Population_Percent,GDP_Per_Capita,Health_Expenditure_Percent_GDP,Population,Male_Female_Ratio,Smoking_Prevalence
India,2001,North,Malaria,2596.16,57.74,2.53,58.43,31.43,1.93,7.91,85.39,75,30,47.31,3963,5.52,36641044,1.1,29.12
India,2015,North,Heart Disease,306.26,290.33,0.95,69.06,63.99,6.33,6.42,74.5,65,29,34.95,5393,2.29,150455598,1.08,28.53
India,2018,West,Cancer,4454.35,671.18,19.96,67.44,37.26,2.09,3.07,75.98,58,23,37.0,3420,3.75,151132394,0.94,31.04
India,2020,North,Malaria,3285.52,1084.47,14.62,68.75,87.75,0.74,1.39,34.99,70,22,43.02,3055,4.32,65860129,0.99,22.88
India,2007,Central,Cancer,1815.77,892.73,13.39,77.78,82.2,12.57,4.53,74.56,75,21,45.34,2770,5.82,175202103,1.09,15.39
India,2006,West,COVID-19,3987.4,1940.19,8.0,89.86,36.9,11.14,3.6,36.0,62,30,47.65,5105,3.15,193883588,1.06,32.85
India,2004,South,COVID-19,315.51,631.54,10.3,56.55,65.47,8.37,7.91,72.94,58,32,32.05,5618,2.79,31351192,1.08,15.34
India,2014,West,Asthma,2535.09,1617.02,3.42,83.2,79.46,1.01,6.88,57.01,59,21,45.35,7967,5.74,17954257,1.09,25.79
India,2009,East,Tuberculosis,4533.9,953.34,14.9,78.2,37.38,14.8,5.41,78.76,58,25,42.6,2068,3.32,145965428,0.99,16.01
India,2004,South,Cancer,4111.64,11.44,15.48,70.25,68.5,3.3,2.66,87.43,67,22,31.69,7106,3.21,198833620,1.06,29.52
India,2007,South,Malaria,3772.39,1025.26,16.35,56.34,85.6,8.12,4.25,74.4,72,34,49.28,1873,5.86,104497637,1.06,15.99
India,2015,South,HIV/AIDS,594.81,179.72,1.97,76.22,95.9,12.96,2.12,86.4,72,35,44.98,1686,4.08,70704212,1.01,19.13
India,2000,North,Flu,4278.29,1578.82,14.24,59.44,22.88,6.58,2.89,36.52,57,33,27.84,6524,4.66,199154052,1.08,33.07
India,2006,West,HIV/AIDS,4379.46,72.67,3.2,67.67,81.99,13.09,6.08,58.41,67,31,49.97,6297,4.7,142723109,0.86,11.13
India,2005,North,Malaria,4433.91,415.77,10.69,86.35,73.44,1.79,0.72,59.47,74,20,28.68,5358,3.39,51587420,1.05,24.71
India,2018,West,Diabetes,4601.16,641.23,16.47,84.4,45.2,0.51,1.71,87.2,68,34,35.79,7465,4.98,9587871,0.95,13.71
India,2024,West,Diabetes,3402.08,1007.15,10.35,65.97,93.92,3.76,0.78,49.71,70,34,25.2,2206,3.19,196947512,1.08,25.03
India,2010,North,HIV/AIDS,4994.71,923.44,11.3,43.39,79.71,10.84,6.8,80.18,66,21,34.18,3659,3.51,103936596,0.97,25.42
India,2006,East,Cancer,394.01,1960.58,18.34,85.52,91.29,2.52,5.94,96.19,58,27,49.27,1865,3.61,49709486,1.01,16.6
India,2018,South,Heart Disease,773.88,1426.14,1.27,93.24,54.96,8.77,3.67,56.64,56,29,36.28,5590,2.51,27131937,0.87,18.4
India,2025,West,HIV/AIDS,2441.96,109.65,8.74,40.05,46.88,3.78,1.88,68.98,55,23,25.14,1966,2.87,132917721,0.89,23.49
India,2009,West,Heart Disease,232.39,135.29,19.16,44.44,79.89,13.11,6.21,57.74,62,24,28.34,6640,2.29,149572942,1.03,12.44
India,2022,South,Heart Disease,674.19,96.44,11.42,50.96,64.68,8.71,2.82,43.93,58,23,37.78,3579,5.12,17401172,1.09,20.3
India,2011,South,Asthma,3013.46,878.63,17.6,63.36,57.42,7.74,6.09,45.68,61,21,46.24,6164,5.96,17948102,0.91,29.69
India,2016,East,Asthma,2744.04,1431.12,14.74,92.67,50.52,7.17,2.76,96.39,63,31,40.3,5534,2.11,164248980,0.98,23.26
India,2009,East,Cancer,1201.88,729.02,10.31,50.73,93.37,8.05,4.99,65.37,70,33,47.95,3408,5.69,191367818,0.98,25.85
India,2010,West,Flu,225.33,121.44,11.06,69.02,65.17,9.4,4.48,93.67,63,35,47.71,4353,4.82,141203397,0.96,31.94
India,2005,Central,HIV/AIDS,3182.58,1378.67,9.18,64.36,43.76,6.81,6.58,88.96,61,24,29.67,5549,3.94,101096601,1.03,30.21
India,2015,West,Tuberculosis,2072.5,656.81,8.45,45.9,55.24,11.97,1.51,59.78,67,23,42.62,5502,5.3,183103600,0.98,13.66
India,2017,South,HIV/AIDS,2122.85,401.31,3.19,60.5,37.09,9.82,5.18,84.46,61,20,28.54,2458,3.58,105444402,0.99,34.93
India,2014,West,Heart Disease,4479.47,716.76,7.78,84.76,73.63,5.19,3.37,33.84,59,27,49.82,6908,2.56,96380671,0.89,24.22
India,2003,South,HIV/AIDS,1778.05,302.23,9.11,60.39,43.46,10.92,1.37,67.68,58,22,32.33,3237,3.58,115967122,0.98,16.48
India,2017,West,HIV/AIDS,2204.82,540.46,17.27,83.71,32.29,13.83,2.15,69.63,74,26,39.2,3102,4.06,108331291,1.09,32.05
India,2001,East,COVID-19,435.41,1813.5,12.78,55.66,83.24,10.62,4.49,80.22,67,30,28.82,6592,2.74,164934699,1.01,31.5
India,2020,North,Malaria,972.23,481.99,17.76,60.59,51.34,3.25,2.27,92.31,70,20,48.09,3763,4.93,121194476,0.87,16.45
India,2016,North,Asthma,4187.45,565.26,3.78,69.42,68.92,5.58,6.43,34.75,72,32,34.24,7698,4.33,97508651,0.89,33.61
India,2013,West,Malaria,929.03,1163.3,9.79,62.93,43.23,5.16,6.03,54.61,68,29,27.81,4570,2.48,138123416,0.93,18.63
India,2002,West,Malaria,4771.35,449.9,17.06,58.97,86.75,8.13,3.9,38.65,58,26,31.64,1889,4.61,108089572,0.94,26.95
India,2006,North,Tuberculosis,4159.38,1316.63,1.16,71.84,73.0,3.21,2.2,61.47,72,33,45.17,4430,3.49,125018507,1.07,11.8
India,2020,West,Tuberculosis,2020.42,396.11,16.92,71.81,66.5,9.06,2.38,84.64,68,25,49.94,2922,4.18,199576994,0.96,28.91
India,2011,East,COVID-19,3465.99,1173.81,9.09,58.36,89.37,7.65,6.64,32.99,67,25,29.37,3781,2.47,19383354,0.85,26.01
India,2017,East,Flu,1340.71,506.79,1.07,82.74,75.88,5.7,0.15,81.91,57,26,45.82,2739,4.06,46680899,1.06,27.17
India,2013,Central,Asthma,1331.73,1543.53,1.06,94.76,98.3,6.08,7.9,40.25,70,33,25.79,6683,4.47,117428689,1.04,18.31
India,2009,North,Heart Disease,1725.95,1160.33,19.12,84.44,58.47,1.2,2.81,57.57,57,26,44.74,3463,2.43,26039371,1.08,10.49
India,2005,West,Asthma,2600.97,272.23,0.29,91.34,89.48,12.26,0.47,39.45,66,33,49.78,3457,3.07,138440712,0.92,14.13
India,2021,South,Malaria,4297.24,959.06,0.28,97.26,58.43,6.94,0.38,39.15,65,34,38.93,3040,5.06,21771278,0.94,20.1
India,2016,West,Heart Disease,184.59,1548.8,17.6,62.43,79.92,11.58,5.91,70.36,60,20,40.73,2901,4.71,192032459,1.01,30.54
India,2008,North,HIV/AIDS,1268.06,643.8,9.03,80.65,77.98,2.37,4.13,41.45,61,29,43.13,2074,2.02,22572938,0.99,22.0
India,2015,West,COVID-19,194.72,845.13,17.88,90.66,77.12,9.21,6.1,81.71,66,35,30.36,2449,4.44,141403254,0.89,12.62
India,2019,East,Flu,2641.29,688.1,16.93,97.74,81.71,4.49,1.67,38.41,61,20,41.47,2489,4.11,78558619,1.09,28.46
India,2009,West,Asthma,1288.09,1175.43,4.18,75.82,72.71,13.75,2.83,89.2,66,21,39.38,4008,3.01,90120039,0.86,23.49
India,2015,West,Malaria,1686.28,469.63,2.97,97.8,81.15,4.77,3.63,33.93,56,29,48.62,2460,3.44,190139327,1.04,18.03
India,2012,South,Cancer,3782.71,1773.24,2.51,81.31,68.0,1.51,2.18,46.25,74,26,27.51,3488,4.34,125307530,0.99,31.07
India,2006,South,Asthma,4946.18,913.28,7.5,56.27,42.64,7.16,3.15,96.71,68,28,47.42,4719,4.9,179565155,1.0,27.35
India,2016,West,Diabetes,492.28,1502.31,8.27,62.14,26.12,8.52,0.84,65.25,74,30,28.27,5405,5.17,168024145,1.01,28.94
India,2025,South,COVID-19,1821.81,816.43,14.2,79.39,26.31,12.08,2.02,63.34,74,33,26.65,3567,3.52,29864134,0.96,27.86
India,2004,North,Flu,3891.95,703.59,8.76,71.95,20.27,3.95,1.81,51.16,74,29,48.4,5225,3.53,32243943,0.94,11.13
India,2011,North,Malaria,2710.14,717.47,3.21,73.9,94.39,10.84,0.72,99.72,70,24,43.69,3990,5.7,181252740,0.95,10.75
India,2020,South,COVID-19,4426.2,1608.64,18.68,71.36,67.04,4.85,4.84,35.28,70,22,44.69,6127,4.8,104309965,0.89,24.6
India,2017,West,Cancer,3690.48,784.93,6.35,65.21,91.29,4.29,0.94,80.26,61,23,34.07,5113,2.03,66827521,1.09,17.78
India,2005,East,HIV/AIDS,2556.67,1978.96,9.14,40.6,45.12,0.71,5.8,67.68,69,31,41.22,6528,2.01,134153734,0.91,19.25
India,2022,Central,Tuberculosis,333.49,1880.42,3.11,45.26,22.29,1.85,7.98,36.39,69,25,40.99,5330,5.67,55159223,0.87,19.88
India,2019,East,COVID-19,442.0,844.63,14.71,48.69,58.06,0.74,5.88,92.72,57,26,45.27,6483,2.75,56770976,0.91,33.08
India,2015,North,Diabetes,2572.81,1570.46,4.01,86.95,53.24,7.1,6.33,72.42,71,21,48.6,2489,3.93,175887813,0.95,31.67
India,2001,West,Asthma,2405.76,1400.71,10.78,86.01,87.57,6.29,5.39,85.57,71,26,38.85,3322,2.75,142693979,1.1,20.12
India,2013,North,Heart Disease,3290.02,1873.27,12.97,64.92,33.52,9.12,0.65,60.22,74,35,35.01,7000,3.96,96692963,0.89,31.29
India,2003,West,Tuberculosis,4718.87,259.55,19.38,64.45,79.93,4.82,6.23,87.24,62,24,39.57,3132,5.3,2525381,0.88,11.17
India,2019,East,Tuberculosis,1117.54,839.57,5.11,58.21,52.04,2.96,0.68,97.79,74,28,28.78,4875,3.78,86070313,1.02,29.49
India,2025,South,Tuberculosis,3501.52,660.81,8.42,75.94,56.36,2.78,7.99,70.41,67,34,29.81,4856,2.89,36116817,1.05,23.4
India,2014,East,COVID-19,4626.62,987.45,18.79,91.66,88.52,8.83,2.7,54.23,70,33,28.47,5538,5.66,16799347,0.88,14.68
India,2020,West,Diabetes,3568.98,1186.42,8.06,49.23,61.99,13.1,4.13,40.6,64,33,35.9,5641,3.24,132689379,1.09,27.36
India,2001,South,Flu,4210.7,1175.59,11.22,79.99,52.18,7.56,5.54,55.21,59,30,42.76,7953,2.27,47395297,1.05,30.53
India,2025,Central,COVID-19,1358.23,266.2,12.3,73.39,56.17,7.16,6.87,54.9,60,35,31.37,2138,5.55,54394915,0.95,17.43
India,2009,North,Malaria,2326.45,1948.44,9.8,58.4,64.61,11.02,7.3,37.31,62,30,42.29,2245,2.25,159043819,0.94,23.9
India,2022,South,Heart Disease,3113.29,1406.09,19.13,84.44,52.33,0.53,1.44,83.59,65,34,45.91,3295,3.16,37372787,1.03,15.17
India,2011,West,Cancer,3155.59,61.28,3.1,53.11,89.5,5.18,3.05,64.28,57,35,37.01,1774,5.96,171544335,1.02,27.9
India,2012,South,COVID-19,4095.28,610.32,0.84,54.99,37.55,5.97,3.03,46.31,70,25,34.18,4951,4.16,88319318,1.01,15.81
India,2006,Central,Flu,2840.71,565.91,7.76,72.06,24.86,12.01,7.76,66.79,63,34,49.37,5982,2.87,147085931,0.9,21.11
India,2014,Central,Asthma,4619.82,63.47,11.68,41.7,93.76,1.12,6.75,47.08,73,25,42.92,4259,5.86,165296049,1.01,33.27
India,2000,West,HIV/AIDS,3655.44,1502.73,9.37,96.31,49.16,5.21,7.72,31.06,69,25,42.66,6303,2.83,47309590,0.96,13.29
India,2006,East,Tuberculosis,1922.16,774.11,17.2,73.08,43.87,10.43,3.35,93.87,68,20,42.8,7653,2.47,82405860,0.92,33.83
India,2005,Central,HIV/AIDS,4782.28,1995.25,7.68,85.17,41.45,11.36,2.02,59.3,61,27,45.59,4005,4.0,94790521,1.04,27.04
India,2016,West,COVID-19,2466.8,1290.65,5.88,98.68,52.99,13.68,6.98,44.38,74,21,26.32,3555,4.06,141895460,0.96,31.15
India,2019,North,HIV/AIDS,1436.14,1329.56,16.17,76.59,41.87,10.18,1.98,89.61,67,33,40.34,6466,5.18,165708080,1.07,27.12
India,2024,South,HIV/AIDS,355.29,735.28,15.91,69.07,90.65,7.77,0.4,71.62,55,24,43.4,6078,5.2,21392370,1.02,25.14
India,2009,South,COVID-19,373.8,1110.22,14.48,55.57,45.19,13.88,0.53,79.47,67,24,47.53,7304,3.0,16847121,1.07,20.36
India,2008,East,Diabetes,4354.89,264.77,9.32,89.95,74.41,14.91,4.11,40.07,69,22,38.11,7486,3.12,45200518,0.91,18.78
India,2015,Central,Asthma,2755.25,1207.35,13.34,44.29,86.67,12.97,1.49,47.06,57,26,25.99,3083,5.67,160285739,1.02,21.21
India,2019,South,Malaria,2185.31,1467.8,15.8,75.57,62.84,8.29,1.56,69.16,75,26,35.65,2449,4.86,157307920,0.88,18.31
India,2015,East,Diabetes,3558.44,241.97,11.92,51.33,31.2,14.56,1.75,90.39,63,33,31.32,3237,2.94,116616665,0.98,21.34
India,2006,Central,Heart Disease,3216.34,788.48,12.65,63.26,61.2,2.97,1.65,46.74,56,30,39.16,7205,5.67,98647859,1.07,12.53
India,2002,North,Asthma,3813.79,1701.55,8.48,57.83,52.71,2.91,6.17,69.34,55,26,46.89,5889,2.82,2660749,1.06,27.18
India,2020,North,Malaria,3155.44,28.95,7.29,78.53,37.52,9.06,7.07,65.72,58,23,48.97,7323,2.37,45723578,1.07,31.13
India,2020,North,Malaria,2881.93,341.18,9.2,57.22,27.19,8.63,0.28,67.69,58,24,40.43,5491,4.59,123527654,0.9,10.43
India,2011,South,Diabetes,3423.12,1235.67,11.33,40.4,75.68,5.69,3.96,61.83,57,26,39.95,3807,3.83,31984754,0.94,13.9
India,2015,East,Malaria,1948.1,64.74,16.0,87.18,66.82,1.2,1.32,47.36,64,28,29.4,2003,4.84,145644633,0.98,30.94
India,2002,South,Malaria,238.27,1969.44,1.84,68.51,83.31,13.97,2.89,38.73,56,21,42.7,2513,5.05,142994966,1.06,15.7
India,2021,West,Malaria,4605.22,1181.28,9.36,59.46,62.4,14.37,3.0,64.99,58,30,29.6,3472,2.77,151291396,0.97,15.86
India,2012,Central,Malaria,4412.61,296.97,6.51,78.26,91.42,12.0,2.86,50.91,72,33,29.32,5011,5.92,116571936,1.05,13.16
India,2010,North,COVID-19,3019.17,1862.73,18.29,56.8,21.28,2.49,6.2,31.15,62,30,27.08,1706,2.08,187578798,0.88,27.34
India,2012,East,Diabetes,4093.13,1253.91,14.53,64.3,76.07,5.23,1.97,62.29,55,24,34.91,3414,3.2,124932094,0.96,26.61
India,2005,North,HIV/AIDS,754.32,1739.47,5.18,97.66,34.77,10.17,1.66,42.35,58,23,33.64,4154,3.02,83287650,0.89,30.47
India,2000,North,Flu,1230.82,1370.69,8.15,60.52,86.95,6.15,3.33,97.13,63,33,29.61,7628,3.31,48258106,1.02,26.08
India,2008,South,Malaria,3328.8,1171.92,4.74,69.11,92.46,6.55,1.54,93.45,59,25,47.79,7394,4.4,77786248,0.9,33.87
India,2018,East,COVID-19,1646.65,497.94,7.63,85.72,48.36,6.84,2.44,62.6,62,22,46.86,2524,3.23,155265923,0.87,27.88
India,2002,North,Asthma,937.77,1487.82,12.68,52.97,79.41,12.6,4.24,48.06,58,23,48.91,4466,2.3,2210887,1.06,24.83
India,2009,Central,Flu,4918.39,1046.34,9.92,57.3,93.89,3.49,7.19,36.64,56,33,27.4,3918,2.79,131132256,0.92,21.31
India,2011,West,Cancer,233.86,207.56,5.44,77.51,53.82,4.43,5.23,55.57,70,28,30.33,1585,4.97,53315864,0.99,34.22
India,2014,East,Malaria,1811.1,1838.57,2.9,62.07,84.8,7.61,5.64,74.47,65,34,47.42,5199,2.85,131074445,0.99,33.8
India,2000,North,Asthma,332.87,259.38,18.85,59.78,81.49,9.96,7.77,33.83,70,24,40.59,6296,3.64,95273592,0.85,34.74
India,2019,Central,Flu,1577.27,1487.93,9.15,88.06,98.83,4.14,6.68,36.14,59,22,38.84,6386,5.99,61004440,0.86,13.95
India,2022,West,Malaria,2526.29,710.79,8.43,44.45,29.18,4.12,0.97,42.33,55,34,48.1,1884,3.07,26758717,1.02,29.49
India,2018,East,COVID-19,4460.24,1004.07,7.28,51.09,57.93,2.25,7.51,91.85,66,29,30.86,4963,2.63,71214321,0.91,25.94
India,2011,East,Heart Disease,2130.35,1644.41,10.74,63.19,76.84,8.39,6.49,50.75,56,25,37.95,5846,4.08,159108252,0.97,34.18
India,2011,Central,Heart Disease,3115.55,867.05,18.97,79.47,92.73,4.63,5.86,39.41,55,33,38.87,2346,3.03,111714139,0.99,17.59
India,2003,West,Asthma,4029.12,1906.33,9.74,67.54,51.78,5.98,5.12,86.53,75,25,25.69,4789,3.07,168471554,0.93,11.81
India,2013,North,Tuberculosis,4584.59,1821.57,2.74,53.02,53.04,14.5,7.08,54.18,70,24,27.33,6637,4.59,180237309,0.94,12.62
India,2000,South,Diabetes,4692.97,522.01,0.24,51.24,49.28,6.45,6.81,80.12,68,29,33.2,6985,2.78,173524680,0.89,13.4
India,2018,North,Diabetes,184.99,428.76,19.35,51.72,85.53,3.51,6.08,75.17,73,33,40.29,6641,5.53,113306894,0.88,34.56
India,2024,North,Malaria,1788.29,111.55,11.42,81.48,68.35,0.88,7.58,52.05,69,26,33.28,4718,2.64,17977476,1.07,12.4
India,2003,East,Tuberculosis,3186.32,1212.99,19.79,67.63,69.07,6.46,0.68,39.59,56,28,30.98,4195,5.91,37339566,1.02,32.57
India,2024,West,Asthma,710.51,426.82,5.33,78.58,47.19,3.26,2.74,65.26,57,35,42.06,4115,5.53,12317869,0.94,29.27
India,2006,North,COVID-19,290.32,1417.23,5.83,63.29,37.27,8.3,4.49,41.97,70,24,46.46,6542,4.73,80856433,0.86,32.27
India,2022,East,Flu,1170.46,1066.93,12.56,78.07,31.43,1.83,4.68,65.27,71,33,42.54,4951,5.51,169026419,0.87,30.24
India,2005,North,Asthma,2926.36,1513.21,4.89,54.8,80.57,1.12,3.73,87.92,75,35,34.84,3574,2.29,169872221,1.07,22.74
India,2024,North,HIV/AIDS,3275.23,132.39,16.48,70.53,48.81,3.57,6.28,42.74,74,30,44.03,3954,5.01,81467151,1.08,26.83
India,2018,North,COVID-19,1937.58,1809.12,14.99,43.22,47.13,9.4,3.06,90.45,69,26,38.73,6303,2.54,43620212,1.02,15.24
India,2003,South,Cancer,714.06,221.09,9.37,52.47,98.54,6.08,5.67,77.72,72,20,27.04,2591,5.4,69481831,0.92,33.31
India,2012,South,HIV/AIDS,2000.7,1337.67,10.97,92.57,51.19,8.82,1.99,64.52,70,31,27.83,2122,5.36,83754624,0.9,23.46
India,2020,East,HIV/AIDS,1566.08,1041.07,3.18,73.57,54.03,12.49,5.21,95.43,58,35,36.56,6256,2.53,172564321,1.01,28.4
India,2007,East,COVID-19,4213.71,1356.62,14.96,73.59,90.31,4.75,5.7,31.09,61,33,46.85,3189,2.56,150590535,1.06,14.8
India,2020,East,Diabetes,2516.03,452.17,12.98,70.04,49.78,5.39,5.5,53.69,57,28,47.9,6921,5.82,130807978,1.0,15.59
India,2024,East,Malaria,2954.53,1479.15,7.34,90.27,77.86,11.85,2.15,34.92,57,21,27.07,3592,5.14,163544128,1.09,21.98
India,2006,Central,Malaria,3194.02,1228.87,15.83,69.12,34.51,14.24,4.38,32.35,72,21,27.31,5223,2.69,160349555,1.01,23.79
India,2024,South,Flu,3988.34,1127.41,8.58,69.01,51.29,5.96,6.03,64.39,62,24,25.39,5528,5.15,121829298,0.89,33.38
India,2014,West,Tuberculosis,186.81,1791.25,7.78,74.93,50.82,11.14,4.0,84.17,75,21,49.47,5326,2.41,144952222,0.95,23.14
India,2013,South,Cancer,3974.75,959.58,7.98,46.24,41.93,3.83,7.09,52.29,63,21,38.35,5898,4.29,170811934,1.08,19.42
India,2015,West,HIV/AIDS,4620.45,1126.76,15.66,51.17,87.54,13.68,4.39,93.99,73,30,34.51,1597,5.8,19769279,1.02,14.19
India,2002,North,Malaria,1935.99,986.01,8.52,53.41,41.43,9.8,4.39,31.55,64,28,49.21,4677,3.4,71585944,0.96,16.4
India,2010,West,Cancer,2054.78,1466.03,11.58,77.29,51.71,12.4,4.11,99.56,63,30,27.88,3777,4.17,60716719,1.09,31.25
India,2018,Central,Tuberculosis,2645.65,1966.55,8.43,98.16,33.29,12.86,2.32,81.82,73,20,43.13,4473,3.09,92814491,0.97,23.39
India,2020,West,Malaria,4479.77,693.01,2.72,41.06,75.82,7.12,2.39,78.34,56,35,33.88,3254,5.6,122257823,0.89,34.37
India,2003,Central,Tuberculosis,2774.42,184.52,19.28,77.21,27.75,12.45,7.34,81.75,67,32,31.75,6686,5.86,77202262,0.92,17.34
India,2016,North,Flu,1137.38,1302.74,11.66,60.56,80.42,7.39,5.31,71.15,69,23,29.93,2617,3.73,129891026,1.03,12.65
India,2020,Central,Diabetes,4704.5,437.32,4.99,49.65,55.52,10.52,6.36,38.12,74,27,27.41,2254,5.5,191874679,0.97,28.21
India,2022,West,Cancer,50.96,850.98,9.44,81.33,75.9,2.68,1.76,89.31,59,35,41.4,2709,4.75,157689673,1.04,16.76
India,2016,East,Flu,1812.67,244.18,10.37,72.04,97.13,8.29,7.52,73.41,57,35,49.88,6824,4.23,175523677,0.97,30.74
India,2015,Central,Cancer,4730.06,1245.98,14.89,97.37,38.58,0.97,5.31,87.35,58,30,48.09,5468,4.52,26409635,0.89,16.77
India,2018,South,COVID-19,989.96,1351.75,19.55,67.42,22.12,0.99,3.01,92.25,68,32,31.68,7789,4.78,160173538,0.98,13.46
