Country,Year,Region,Disease_Name,Prevalence_Rate,Incidence_Rate,Mortality_Rate,Recovery_Rate,Healthcare_Access_Index,Hospital_Beds_per_1000,Doctors_per_1000,Vaccination_Coverage,Life_Expectancy,Median_Age,Urban_Population_Percent,GDP_Per_Capita,Health_Expenditure_Percent_GDP,Population,Male_Female_Ratio,Smoking_Prevalence
India,2001,Central,Diabetes,2091.29,817.86,4.45,41.39,39.58,4.67,3.74,50.96,58,21,26.26,1815,3.53,128326820,1.0,26.61
India,2003,North,Cancer,2905.25,1018.69,8.47,68.29,51.64,7.08,2.82,78.38,59,26,45.79,5755,3.97,170647831,0.98,30.01
India,2023,Central,Diabetes,2306.41,1216.8,12.19,59.77,25.98,9.96,5.8,49.58,66,32,34.09,1891,2.17,173022353,1.03,28.32
India,2005,South,Heart Disease,4504.95,101.58,6.4,60.35,35.31,2.05,6.96,98.39,62,21,25.92,5110,4.72,34923313,1.08,19.94
India,2022,North,Heart Disease,4612.92,1019.58,10.07,90.35,67.93,3.19,6.35,68.15,61,31,47.73,5475,3.56,101036152,1.04,13.83
India,2009,Central,Cancer,4510.84,331.48,19.7,50.56,33.72,10.37,0.35,73.48,62,20,35.4,7335,5.74,17464239,1.07,18.81
India,2014,South,Heart Disease,3839.59,163.95,2.99,54.3,83.16,2.89,4.31,65.79,57,29,34.82,3208,4.59,123179237,0.93,22.89
India,2025,South,Cancer,3349.26,1540.54,1.76,55.37,55.65,1.97,0.2,75.54,60,29,26.02,7237,4.05,8220478,0.86,11.81
India,2011,West,Tuberculosis,3617.75,667.93,0.98,84.85,42.96,0.72,3.53,96.29,58,30,34.9,1796,3.25,1394675,0.87,18.9
India,2010,North,Cancer,350.58,247.43,11.67,95.39,42.76,7.43,3.7,66.23,71,22,47.14,3660,5.16,53039456,0.97,23.85
India,2022,Central,Flu,1215.01,1722.6,1.4,77.37,56.24,6.67,1.95,68.55,57,32,26.86,5701,3.16,153036399,0.88,10.56
India,2024,South,Heart Disease,3167.42,1037.93,11.49,72.58,25.36,2.98,6.96,84.91,56,35,34.31,2346,3.47,171383982,1.06,25.62
India,2017,East,Malaria,2628.76,102.96,5.87,98.95,99.05,10.93,1.02,99.03,70,31,44.81,2319,5.92,32729978,0.96,18.67
India,2008,East,Asthma,1178.8,1746.14,5.73,86.25,35.91,9.3,6.56,93.76,61,24,31.63,3656,3.53,191993719,0.86,31.36
India,2006,Central,Asthma,4371.06,1755.64,6.79,87.5,24.02,2.36,4.98,89.56,63,21,44.74,4890,2.56,87913045,0.9,32.31
India,2003,East,Asthma,4017.4,1304.83,17.65,92.64,91.85,14.87,6.69,77.28,72,21,35.06,2987,5.16,140499698,1.01,25.0
India,2012,West,Flu,1829.59,1650.1,14.68,75.55,23.95,7.94,2.21,77.49,72,29,41.4,3824,4.81,127371279,1.05,33.5
India,2023,East,Flu,1079.01,1635.25,16.27,69.74,40.4,10.63,2.45,57.69,59,20,31.38,2003,2.67,32134257,1.06,14.69
India,2007,South,Asthma,4893.49,186.42,5.81,55.4,34.1,4.96,0.94,40.11,73,28,30.3,4234,5.55,73280002,0.85,30.69
India,2013,South,Asthma,3814.54,1604.6,16.63,40.12,93.71,3.94,6.01,64.7,69,22,30.74,7394,4.43,93969261,1.08,22.82
India,2015,Central,Asthma,1704.25,1022.37,18.81,88.06,55.79,4.05,6.97,79.43,62,23,45.13,4402,5.99,106443163,1.0,11.49
India,2008,Central,Diabetes,3067.29,1015.15,4.49,46.05,41.15,9.3,3.75,48.24,70,22,25.67,3013,3.78,37776311,0.99,34.29
India,2019,North,HIV/AIDS,3821.49,1863.21,13.04,83.06,63.9,1.31,6.01,74.23,67,25,38.88,7003,4.78,13614205,0.88,33.72
India,2016,North,Malaria,2268.05,148.7,4.48,75.11,30.9,8.82,2.95,42.34,65,27,41.53,6777,4.58,22789093,0.91,15.52
